codigo,nombre,nivel,padre,grupo,naturaleza,estado_financiero,epigrafe,tipo_analitico,bidireccional,is_contra,pymes,epigrafe_pymes,cashflow_bucket
118,Aportaciones de socios o propietarios,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / VI. Otras aportaciones de socios,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / VI. Otras aportaciones de socios,FINANCIACION
119,Diferencias por ajuste del capital a euros,3,11,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / III. Reservas / 2. Otras reservas,FINANCIACION
12,Resultados pendientes de aplicación,2,1,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores,FINANCIACION
120,Remanente,3,12,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores / 1. Remanente,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores / 1. Remanente,FINANCIACION
121,Resultados negativos de ejercicios anteriores,3,12,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores / 2. (Resultados negativos de ejercicios anteriores),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / V. Resultados de ejercicios anteriores / 2. (Resultados negativos de ejercicios anteriores),FINANCIACION
129,Resultado del ejercicio,3,12,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / VII. Resultado del ejercicio,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / VII. Resultado del ejercicio,FINANCIACION
13,"Subvenciones, donaciones y ajustes por cambios de valor",2,1,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto,,0,0,1,A) Patrimonio neto,FINANCIACION
130,Subvenciones oficiales de capital,3,13,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,1,"A) Patrimonio neto / A-2) Subvenciones, donaciones y legados recibidos",FINANCIACION
131,Donaciones y legados de capital,3,13,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,1,"A) Patrimonio neto / A-2) Subvenciones, donaciones y legados recibidos",FINANCIACION
132,"Otras subvenciones, donaciones y legados",3,13,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,1,"A) Patrimonio neto / A-2) Subvenciones, donaciones y legados recibidos",FINANCIACION
133,Ajustes por valoración en activos financieros a valor razonable con cambios en el patrimonio neto,3,13,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-2) Ajustes por cambios de valor / I. Activos financieros a valor razonable con cambios en el patrimonio neto,,0,0,0,,FINANCIACION
134,Operaciones de cobertura,3,13,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-2) Ajustes por cambios de valor / II. Operaciones de cobertura,,0,0,0,,FINANCIACION
1340,Cobertura de flujos de efectivo,4,134,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-2) Ajustes por cambios de valor / II. Operaciones de cobertura,,0,0,0,,FINANCIACION
1341,Cobertura de una inversión neta en un negocio en el extranjero,4,134,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-2) Ajustes por cambios de valor / V. Otros,,0,0,0,,FINANCIACION
135,Diferencias de conversión,3,13,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-2) Ajustes por cambios de valor / IV. Diferencia de conversión,,0,0,0,,FINANCIACION
136,"Ajustes por valoración en activos no corrientes y grupos enajenables de elementos, mantenidos para la venta",3,13,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-2) Ajustes por cambios de valor / III. Activos no corrientes y pasivos vinculados, mantenidos para la venta",,0,0,0,,FINANCIACION
137,Ingresos fiscales a distribuir en varios ejercicios,3,13,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,0,,FINANCIACION
1370,Ingresos fiscales por diferencias permanentes a distribuir en varios ejercicios,4,137,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,0,,FINANCIACION
1371,Ingresos fiscales por deducciones y bonificaciones a distribuir en varios ejercicios,4,137,1,ACREEDORA,BALANCE_PN,"A) Patrimonio neto / A-3) Subvenciones, donaciones y legados recibidos",,0,0,0,,FINANCIACION
14,Provisiones,2,1,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo,FINANCIACION
140,Provisión por retribuciones a largo plazo al personal,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 1. Obligaciones por prestaciones a largo plazo al personal,,0,0,0,,FINANCIACION
141,Provisión para impuestos,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,FINANCIACION
142,Provisión para otras responsabilidades,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,FINANCIACION
143,"Provisión por desmantelamiento, retiro o rehabilitación del inmovilizado",3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,FINANCIACION
145,Provisión para actuaciones medioambientales,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 2. Actuaciones medioambientales,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo / 2. Actuaciones medioambientales,FINANCIACION
146,Provisión para reestructuraciones,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 3. Provisiones por reestructuración,,0,0,1,B) Pasivo no corriente / I. Provisiones a largo plazo / 3. Provisiones por reestructuración,FINANCIACION
147,Provisión por transacciones con pagos basados en instrumentos de patrimonio,3,14,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / I. Provisiones a largo plazo / 4. Otras provisiones,,0,0,0,,FINANCIACION
15,Deudas a largo plazo con características especiales,2,1,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,0,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
150,Acciones o participaciones a largo plazo consideradas como pasivos financieros,3,15,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,0,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
153,Desembolsos no exigidos por acciones o participaciones consideradas como pasivos financieros,3,15,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1533,"Desembolsos no exigidos, empresas del grupo",4,153,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1534,"Desembolsos no exigidos, empresas asociadas",4,153,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1535,"Desembolsos no exigidos, otras partes vinculadas",4,153,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1536,Otros desembolsos no exigidos,4,153,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
154,Aportaciones no dinerarias pendientes por acciones o participaciones consideradas como pasivos financieros,3,15,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1543,"Aportaciones no dinerarias pendientes, empresas del grupo",4,154,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1544,"Aportaciones no dinerarias pendientes, empresas asociadas",4,154,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1545,"Aportaciones no dinerarias pendientes, otras partes vinculadas",4,154,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
1546,Otras aportaciones no dinerarias pendientes,4,154,1,DEUDORA,BALANCE_PASIVO,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,,0,1,1,B) Pasivo no corriente / VII. Deuda con características especiales a largo plazo,FINANCIACION
16,Deudas a largo plazo con partes vinculadas,2,1,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
160,Deudas a largo plazo con entidades de crédito vinculadas,3,16,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1603,"Deudas a largo plazo con entidades de crédito, empresas del grupo",4,160,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1604,"Deudas a largo plazo con entidades de crédito, empresas asociadas",4,160,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1605,Deudas a largo plazo con otras entidades de crédito vinculadas,4,160,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 2. Deudas con entidades de crédito,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 2. Deudas con entidades de crédito,FINANCIACION
161,"Proveedores de inmovilizado a largo plazo, partes vinculadas",3,16,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1613,"Proveedores de inmovilizado a largo plazo, empresas del grupo",4,161,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1614,"Proveedores de inmovilizado a largo plazo, empresas asociadas",4,161,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1615,"Proveedores de inmovilizado a largo plazo, otras partes vinculadas",4,161,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
162,"Acreedores por arrendamiento financiero a largo plazo, partes vinculadas",3,16,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1623,"Acreedores por arrendamiento financiero a largo plazo, empresas del grupo",4,162,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1624,"Acreedores por arrendamiento financiero a largo plazo, empresas asociadas",4,162,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1625,"Acreedores por arrendamiento financiero a largo plazo, otras partes vinculadas",4,162,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 3. Acreedores por arrendamiento financiero,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 3. Acreedores por arrendamiento financiero,FINANCIACION
163,Otras deudas a largo plazo con partes vinculadas,3,16,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1633,"Otras deudas a largo plazo, empresas del grupo",4,163,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1634,"Otras deudas a largo plazo, empresas asociadas",4,163,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,,0,0,1,B) Pasivo no corriente / III. Deudas con empresas del grupo y asociadas a largo plazo,FINANCIACION
1635,"Otras deudas a largo plazo, con otras partes vinculadas",4,163,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
17,"Deudas a largo plazo por préstamos recibidos, empréstitos y otros conceptos",2,1,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo,FINANCIACION
170,Deudas a largo plazo con entidades de crédito,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 2. Deudas con entidades de crédito,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 2. Deudas con entidades de crédito,FINANCIACION
171,Deudas a largo plazo,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
172,"Deudas a largo plazo transformables en subvenciones, donaciones y legados",3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
173,Proveedores de inmovilizado a largo plazo,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
174,Acreedores por arrendamiento financiero a largo plazo,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 3. Acreedores por arrendamiento financiero,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 3. Acreedores por arrendamiento financiero,FINANCIACION
175,Efectos a pagar a largo plazo,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
176,Pasivos por derivados financieros a largo plazo,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 4. Derivados,,0,0,0,,FINANCIACION
1765,"Pasivos por derivados financieros a largo plazo, cartera de negociación",4,176,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 4. Derivados,,0,0,0,,FINANCIACION
1768,"Pasivos por derivados financieros a largo plazo, instrumentos de cobertura",4,176,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 4. Derivados,,0,0,0,,FINANCIACION
177,Obligaciones y bonos,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 1. Obligaciones y otros valores negociables,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 1. Obligaciones y otros valores negociables,FINANCIACION
178,Obligaciones y bonos convertibles,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 1. Obligaciones y otros valores negociables,,0,0,0,,FINANCIACION
179,Deudas representadas en otros valores negociables,3,17,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 1. Obligaciones y otros valores negociables,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 1. Obligaciones y otros valores negociables,FINANCIACION
18,"Pasivos por fianzas, garantías y otros conceptos a largo plazo",2,1,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
180,Fianzas recibidas a largo plazo,3,18,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
181,Anticipos recibidos por ventas o prestaciones de servicios a largo plazo,3,18,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / V. Periodificaciones a largo plazo,,0,0,1,B) Pasivo no corriente / V. Periodificaciones a largo plazo,FINANCIACION
185,Depósitos recibidos a largo plazo,3,18,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
189,Garantías financieras a largo plazo,3,18,1,ACREEDORA,BALANCE_PASIVO,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,,0,0,1,B) Pasivo no corriente / II. Deudas a largo plazo / 5. Otros pasivos financieros,FINANCIACION
19,Situaciones transitorias de financiación,2,1,1,ACREEDORA,,,,0,0,1,,FINANCIACION
190,Acciones o participaciones emitidas,3,19,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,FINANCIACION
192,Suscriptores de acciones,3,19,1,DEUDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),,0,1,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 2. (Capital no exigido),FINANCIACION
194,Capital emitido pendiente de inscripción,3,19,1,ACREEDORA,BALANCE_PN,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,,0,0,1,A) Patrimonio neto / A-1) Fondos propios / I. Capital / 1. Capital escriturado,FINANCIACION
195,Acciones o participaciones emitidas consideradas como pasivos financieros,3,19,1,DEUDORA,BALANCE_PASIVO,C) Pasivo corriente / VII. Deuda con características especiales a corto plazo,,0,1,1,C) Pasivo corriente / VI. Deuda con características especiales a corto plazo,FINANCIACION
